;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
9192;Hungary;2021-02-19;1911.5714285714287;86.0;1.7929841744409112;9634162.0
9193;Hungary;2021-02-20;2050.8571428571427;88.0;1.9794664029938462;9634162.0
9194;Hungary;2021-02-21;2223.0;84.71428571428571;2.0863776216343464;9634162.0
9195;Hungary;2021-02-22;2406.714285714286;85.0;2.1353180484197796;9634162.0
9196;Hungary;2021-02-23;2521.714285714286;87.57142857142857;2.167765084290673;9634162.0
9197;Hungary;2021-02-24;2708.4285714285716;88.71428571428571;2.1908807429229444;9634162.0
9198;Hungary;2021-02-25;2927.285714285714;91.0;2.4975913836615993;9634162.0
9199;Hungary;2021-02-26;3152.285714285714;92.85714285714286;2.536878661579492;9634162.0
9200;Hungary;2021-02-27;3431.285714285714;92.85714285714286;2.5897322465617663;9634162.0
9201;Hungary;2021-02-28;3653.714285714286;96.42857142857143;2.6124846146452594;9634162.0
9202;Hungary;2021-03-01;3897.0;101.57142857142857;2.6244835824849115;9634162.0
9203;Hungary;2021-03-02;4059.285714285714;105.42857142857143;2.629891421796727;9634162.0
9204;Hungary;2021-03-03;4253.0;110.28571428571429;2.772975999365591;9634162.0
9205;Hungary;2021-03-04;4523.428571428572;114.85714285714286;2.9034907239467223;9634162.0
9206;Hungary;2021-03-05;4766.428571428572;117.71428571428571;3.16457207175881;9634162.0
9207;Hungary;2021-03-06;5098.0;123.28571428571429;3.1925246845548165;9634162.0
9208;Hungary;2021-03-07;5345.428571428572;128.42857142857142;3.196219868422391;9634162.0
9209;Hungary;2021-03-08;5112.571428571428;132.85714285714286;3.2642693780735677;9634162.0
9210;Hungary;2021-03-09;5645.428571428572;136.85714285714286;3.2997784342841654;9634162.0
9211;Hungary;2021-03-10;5851.428571428572;143.0;3.39861422301182;9634162.0
9212;Hungary;2021-03-11;6142.0;145.85714285714286;3.6504887503448664;9634162.0
9213;Hungary;2021-03-12;6519.428571428572;144.0;3.9167184442196428;9634162.0
9214;Hungary;2021-03-13;6830.142857142857;146.42857142857142;4.076151096483534;9634162.0
9215;Hungary;2021-03-14;7210.428571428572;154.14285714285714;4.141117826335077;9634162.0
9216;Hungary;2021-03-15;7926.142857142857;156.42857142857142;4.146754019706124;9634162.0
9217;Hungary;2021-03-16;7702.142857142857;154.28571428571428;4.221913644383394;9634162.0
9218;Hungary;2021-03-17;7388.285714285715;156.57142857142858;4.379363768223951;9634162.0
9219;Hungary;2021-03-18;7129.714285714285;161.57142857142858;4.61328136271738;9634162.0
9220;Hungary;2021-03-19;7379.428571428572;173.42857142857142;4.833248600137718;9634162.0
9221;Hungary;2021-03-20;7620.571428571428;182.57142857142858;4.9292403428549365;9634162.0
9222;Hungary;2021-03-21;7872.285714285715;187.14285714285714;4.975928368237943;9634162.0
9223;Hungary;2021-03-22;8063.714285714285;195.42857142857142;5.001161491783095;9634162.0
9224;Hungary;2021-03-23;8143.0;211.0;5.132984062339828;9634162.0
9225;Hungary;2021-03-24;8733.142857142857;218.71428571428572;5.445247858609809;9634162.0
9226;Hungary;2021-03-25;9181.0;228.0;6.172430980504584;9634162.0
9227;Hungary;2021-03-26;9253.285714285714;236.85714285714286;6.926424944899204;9634162.0
9228;Hungary;2021-03-27;9115.42857142857;240.57142857142858;7.1201937438876355;9634162.0
9229;Hungary;2021-03-28;8895.0;244.28571428571428;7.155702800098234;9634162.0
9230;Hungary;2021-03-29;8640.285714285714;244.28571428571428;7.155702800098234;9634162.0
9231;Hungary;2021-03-30;8515.714285714286;247.42857142857142;7.817877673221604;9634162.0
9232;Hungary;2021-03-31;8389.0;255.0;8.170996086634208;9634162.0
9233;Hungary;2021-04-01;8339.142857142857;253.0;8.95973100722201;9634162.0
9234;Hungary;2021-04-02;8023.428571428572;251.85714285714286;9.248360158361464;9634162.0
9235;Hungary;2021-04-03;7804.857142857143;250.28571428571428;9.39487004681881;9634162.0
9236;Hungary;2021-04-04;7445.428571428572;249.0;9.47681801489325;9634162.0
9237;Hungary;2021-04-05;6961.285714285715;252.42857142857142;9.57930746856862;9634162.0
9238;Hungary;2021-04-06;6572.857142857143;237.57142857142858;10.441344042169936;9634162.0
9239;Hungary;2021-04-07;5891.857142857143;238.85714285714286;11.188798776686545;9634162.0
9240;Hungary;2021-04-08;5252.714285714285;240.85714285714286;11.689018723164505;9634162.0
9241;Hungary;2021-04-09;5005.571428571428;243.42857142857142;12.159594160862149;9634162.0
9242;Hungary;2021-04-10;4922.142857142857;243.85714285714286;12.431646883247344;9634162.0
9243;Hungary;2021-04-11;4883.571428571428;243.14285714285714;12.634809337854191;9634162.0
9244;Hungary;2021-04-12;5055.428571428572;254.28571428571428;12.980703459211087;9634162.0
9245;Hungary;2021-04-13;5190.714285714285;268.85714285714283;13.397210883520538;9634162.0
9246;Hungary;2021-04-14;5428.428571428572;265.14285714285717;13.759235105243196;9634162.0
9247;Hungary;2021-04-15;5498.857142857143;262.85714285714283;13.759235105243196;9634162.0
